grad_student, high_gpa, sent_application, freshman, complete_course, scholarship_candidate
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,1,0,1,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,1,1,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,1,0,0
0,0,1,1,1,0
0,1,0,0,0,0
0,1,0,0,1,0
0,1,0,1,0,0
0,1,0,1,1,0
0,1,1,0,0,0
0,1,1,0,1,0
0,1,1,1,0,0
0,1,1,1,1,0
1,0,0,0,0,0
1,0,0,0,1,0
1,0,0,1,0,0
1,0,0,1,1,0
1,0,1,0,0,0
1,0,1,0,1,0
1,0,1,1,0,0
1,0,1,1,1,0
1,1,0,0,0,0
1,1,0,0,1,0
1,1,0,1,0,0
1,1,0,1,1,0
1,1,1,0,0,1
1,1,1,0,1,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,1,0
